1,885
2,884
3,885
4,886
5,884
6,885
7,885
8,886
9,889
10,889
11,886
12,884
13,888
14,887
15,888
16,889
17,884
18,889
19,889
20,889
21,891
22,888
23,886
24,887
25,890
26,890
27,888
28,893
29,891
30,892
31,892
32,893
33,894
34,891
35,892
36,888
37,892
38,892
39,892
40,893
41,887
42,889
43,888
44,891
45,892
46,892
47,893
48,889
49,887
50,890
51,887
52,890
53,888
54,893
55,889
56,886
57,890
58,889
59,888
60,890
61,885
62,892
63,893
64,890
65,890
66,894
67,891
68,890
69,886
70,888
71,892
72,890
73,894
74,897
75,889
76,891
77,897
78,895
79,894
80,892
81,893
82,894
83,895
84,894
85,893
86,892
87,893
88,894
89,891
90,890
91,894
92,889
93,895
94,892
95,896
96,889
97,889
98,895
99,890
