1,99
2,101
3,100
4,101
5,101
6,100
7,100
8,99
9,100
10,99
11,99
12,99
13,99
14,99
15,98
16,98
17,99
18,99
19,99
20,100
21,101
22,99
23,101
24,100
25,100
26,100
27,100
28,101
29,101
30,100
31,101
32,102
33,101
34,101
35,101
36,102
37,101
38,101
39,101
40,103
41,102
42,102
43,102
44,102
45,103
46,103
47,102
48,102
49,102
50,102
51,101
52,101
53,102
54,101
55,101
56,101
57,102
58,101
59,101
60,101
61,101
62,101
63,101
64,101
65,101
66,100
67,101
68,101
69,100
70,100
71,101
72,101
73,101
74,101
75,101
76,100
77,100
78,100
79,101
80,101
81,100
82,101
83,100
84,101
85,100
86,100
87,100
88,100
89,101
90,100
91,101
92,101
93,100
94,100
95,100
96,101
97,100
98,101
99,100
