1,473
2,474
3,474
4,475
5,476
6,474
7,473
8,473
9,474
10,473
11,473
12,474
13,474
14,474
15,475
16,474
17,474
18,474
19,474
20,474
21,474
22,474
23,474
24,475
25,472
26,473
27,470
28,471
29,472
30,470
31,470
32,466
33,469
34,470
35,470
36,468
37,470
38,469
39,469
40,469
41,467
42,470
43,469
44,469
45,468
46,468
47,468
48,470
49,468
50,468
51,470
52,469
53,467
54,467
55,469
56,467
57,468
58,470
59,470
60,471
61,471
62,471
63,473
64,471
65,473
66,473
67,474
68,471
69,472
70,472
71,472
72,474
73,471
74,474
75,474
76,472
77,472
78,473
79,472
80,472
81,469
82,468
83,470
84,471
85,473
86,472
87,471
88,470
89,470
90,469
91,467
92,468
93,467
94,468
95,467
96,467
97,467
98,466
99,464
